drugbank_id,cas,logP ALOGPS,logP ChemAxon,solubility ALOGPS,pKa (strongest acidic),pKa (strongest basic)
DB13051,1007207-67-1,0.44,-0.19,9.59e-01 g/l,16.18,3.71
DB13052,1191101-18-4,3.26,4.85,4.97e-03 g/l,9.16,4.98
DB13053,204981-48-6,4.41,5.24,1.61e-03 g/l,3.65,-3.3
DB13054,1839508-99-4,6.79,7,4.19e-03 g/l,17.93,6.35
DB13055,1340593-59-0,3.93,4.69,4.58e-03 g/l,10.67,2.01
DB13056,57381-26-7,2.09,2.97,5.20e-01 g/l,15.57,5.32
DB13059,942487-16-3,3.48,2.36,3.77e-02 g/l,12.57,4.24
DB13060,1391712-60-9,4.04,5.4,2.26e-02 g/l,12.72,8.32
DB13061,869363-13-3,5.2,6.07,8.70e-04 g/l,4.59,2.81
DB13062,1374524-68-1,3.87,4.82,7.47e-03 g/l,9.58,-4.9
DB13066,115575-11-6,3.65,3.48,1.79e-02 g/l,12.2,6.74
DB13067,355151-12-1,-1.3,-4.6,1.56e+00 g/l,9.5,-1.9
DB13068,143205-42-9,4.2,3.72,9.67e-03 g/l,11.83,-2.4
DB13069,42471-28-3,0.8,0.63,1.49e-01 g/l,12.94,6.26
DB13070,288104-79-0,6.07,6.52,1.43e-03 g/l,10.77,1.6
DB13071,6903-79-3,-1.8,-1.9,9.81e+00 g/l,1.48,12.3
DB13072,1207360-89-1,2.26,2.88,3.67e-02 g/l,13.05,5.73
DB13074,381231-18-1,1.77,1.67,6.16e-03 g/l,12.4,8.34
DB13077,1219707-39-7,-0.49,0.11,9.48e-01 g/l,14.61,3.35
DB13078,693272-98-9,3.9,4.52,2.86e-02 g/l,14.06,0.8
DB13080,359625-79-9,2.96,2.88,8.26e-02 g/l,14.19,6.45
DB13082,77191-36-7,1.62,1.58,7.04e-01 g/l,13.75,-2
DB13083,201410-53-9,5.1,5.9,1.45e-02 g/l,13.11,2.76
DB13084,1098-97-1,1.57,0.43,2.32e-01 g/l,9.14,6.02
DB13086,1266084-51-8,4,4.67,3.72e-03 g/l,8.78,-4.1
DB13087,224624-80-0,-0.06,-0.037,9.95e+00 g/l,3.5,-0.77
DB13088,692054-06-1,3.33,2.61,1.28e-01 g/l,11.82,6.61
DB13089,471-53-4,5.45,6.03,1.72e-03 g/l,4.44,-0.84
DB13090,1436861-97-0,-2,-3.3,2.13e+00 g/l,-2,9.16
DB13091,55837-29-1,5.07,4.72,5.83e-03 g/l,15.04,9.32
DB13092,2013-58-3,0.11,-3,5.42e-01 g/l,2.95,8.82
DB13093,1005780-62-0,3.3,3.44,2.32e-02 g/l,11.53,2.24
DB13094,443144-26-1,3.03,3.23,1.88e-02 g/l,13.2,7.05
DB13095,954389-09-4,4.78,6.88,3.58e-03 g/l,11.42,2.29
DB13097,187935-17-7,7,6.55,9.23e-04 g/l,14.39,-2.8
DB13098,166981-13-1,5.92,6.58,4.53e-04 g/l,14.9,10.17
DB13099,4171-13-5,1.77,1.83,4.42e+00 g/l,17.09,-1.1
DB13100,56-03-1,-2.1,-1.5,1.81e+00 g/l,19.2,12.06
DB13101,910462-43-0,2.87,2.83,2.79e-02 g/l,14.37,3.28
DB13102,1198309-73-7,3.33,2.44,1.09e-01 g/l,13.26,-1.5
DB13103,236095-29-7,0.82,-0.099,3.31e-01 g/l,8.1,9.36
DB13104,1365267-27-1,3.64,3.5,1.81e-02 g/l,11.48,6.85
DB13105,552830-51-0,4.24,2.53,4.50e-02 g/l,4.65,-1.1
DB13107,648927-86-0,-2.2,-4.5,1.62e+00 g/l,-1.3,10.19
DB13108,1189805-46-6,1.33,2.12,7.15e-01 g/l,18.66,8.05
DB13109,1197160-28-3,2.19,3.83,5.60e-02 g/l,11.15,5.69
DB13111,950-99-2,4.06,4.23,3.59e-01 g/l,10.8,-4.9
DB13115,495399-09-2,5.05,5.53,1.49e-03 g/l,3.73,-4.1
DB13118,248282-01-1,2.74,2.91,6.53e-02 g/l,6.28,-2.2
DB13119,863434-13-3,0.6,0.42,1.04e-01 g/l,4.83,2.24
DB13120,945635-15-4,1.95,2.51,8.52e-02 g/l,3.2,0.46
DB13121,439685-79-7,-2.2,-2.1,5.72e+02 g/l,12.7,-2.5
DB13122,871108-05-3,0.78,0.26,1.46e+00 g/l,12.45,3.71
DB13123,286936-40-1,3.98,3.39,2.09e-02 g/l,14.19,9.11
DB13124,7085-55-4,-0.55,-2.5,1.43e+00 g/l,8.34,-2.8
DB13125,1110766-97-6,6.94,8.56,1.45e-04 g/l,3.02,-1.2
DB13126,1584647-27-7,3.39,4.95,1.11e-02 g/l,9.36,-0.19
DB13129,74513-62-5,3.18,3.71,1.88e-02 g/l,13.7,-3.4
DB13135,651729-53-2,2.15,1.04,3.85e-02 g/l,2.5,4.77
DB13136,957-56-2,3.09,3.02,5.49e-02 g/l,4.19,-7.5
DB13137,960210-99-5,5.01,4.21,5.27e-04 g/l,13.17,-0.23
DB13138,1239309-58-0,5.05,5.93,9.45e-03 g/l,12.2,8.39
DB13139,34391-04-3,0.44,0.34,2.15e+00 g/l,10.12,9.4
DB13141,96989-76-3,-0.8,2.65,1.47e+01 g/l,15.26,9.01
DB13142,97635-31-9,-2.5,-9.6,4.72e+01 g/l,11.32,-3.6
DB13143,517-18-0,4.69,4.72,1.02e-03 g/l,4.53,-4.8
DB13146,222727-39-1,-3,-2.9,1.73e+02 g/l,2.07,9.42
DB13154,106-48-9,2.37,2.27,1.40e+01 g/l,8.96,-6.3
DB13155,531-75-9,-0.53,-1.1,1.03e+01 g/l,8.12,-3
DB13156,36703-88-5,-1.9,-2.5,1.38e+01 g/l,8.93,0.58
DB13157,1847-58-1,4.49,4,5.76e-03 g/l,-1.1,-7.3
DB13158,54063-32-0,2.88,3.6,6.91e-03 g/l,12.49,-3.9
DB13163,06-01-2451,1.85,1.19,8.31e+00 g/l,18.93,-0.69
DB13164,1353550-13-6,5.22,5.47,7.92e-03 g/l,13.85,7.96
DB13166,81872-10-8,3.64,4.31,3.11e-03 g/l,3.5,-1.3
DB13167,22131-79-9,3.01,2.79,2.88e-01 g/l,3.71,-4.9
DB13169,434-22-0,2.6,3.07,5.61e-02 g/l,19.28,-0.88
DB13171,111-03-5,6.32,5.61,1.51e-03 g/l,13.62,-3
DB13174,478-43-3,2.18,3.27,2.14e-01 g/l,3.4,-4.4
DB13175,480-09-1,2.54,3.9,1.22e-01 g/l,3.54,-4.4
DB13177,18997-57-4,-0.34,-0.49,5.11e+00 g/l,12.2,-3
DB13178,87-89-8,-2.6,-3.8,4.85e+02 g/l,12.29,-3.6
DB13179,09-09-2751,3.76,4.3,1.92e-02 g/l,19.62,7.87
DB13180,526-95-4,-2.6,-3.4,1.59e+02 g/l,3.39,-3
DB13181,13473-61-5,-0.18,-0.73,5.70e-04 g/l,11.05,-4.5
DB13182,486-66-8,3.3,2.73,8.49e-02 g/l,6.48,-5.3
DB13183,72950-39-1,2.21,-0.46,1.82e-01 g/l,3.25,2.57
DB13185,1254-35-9,4.43,5.29,3.77e-03 g/l,9.23,-3.7
DB13191,67-07-2,-2,-2.3,3.52e+00 g/l,-1.1,13.57
DB13203,2016-63-9,1.71,1.1,1.79e+00 g/l,15.59,8.7
DB13205,5560-78-1,4.06,3.49,1.42e-03 g/l,16.38,-3.8
DB13206,3703-79-5,1.09,1.14,1.85e+00 g/l,9.2,9.96
DB13207,4320-30-3,-3.5,-3.2,2.28e+00 g/l,2.41,12.41
DB13208,599-33-7,1.74,1.37,3.59e-01 g/l,12.12,-2.9
DB13212,143-74-8,3.15,4.11,1.80e-02 g/l,9.16,-6
DB13213,653-03-2,4.34,4.48,1.03e-02 g/l,17.29,7.86
DB13214,115-68-4,0.63,1.13,1.23e+00 g/l,4.41,2.11
DB13215,297-83-6,1.04,7.09,7.99e-03 g/l,-3.4,-6.5
DB13217,18046-21-4,4.79,5.06,1.36e-03 g/l,4.82,1.3
DB13218,90-64-2,0.66,0.9,1.68e+01 g/l,3.75,-4.1
DB13220,75802-64-1,-0.47,-3.5,3.51e+01 g/l,1.7,9.61
DB13221,528-92-7,0.83,1.19,7.52e+00 g/l,11.75,-6.3
DB13222,09-09-7175,3.11,3.11,2.99e-01 g/l,7.84,4.46
DB13223,33124-50-4,2.26,2.74,3.02e-02 g/l,3.73,-0.23
DB13224,77-03-2,0.38,1.34,2.90e+01 g/l,14.47,-3.4
DB13226,99-15-0,0.78,0.49,1.09e+01 g/l,4.2,-1.8
DB13227,10310-32-4,4.13,5.17,3.25e-03 g/l,12.36,-3.6
DB13230,2137-18-0,2.77,3.1,2.13e-02 g/l,12.7,-3.8
DB13231,814-80-2,-0.36,-0.47,1.91e+02 g/l,3.78,-3.7
DB13232,27470-51-5,2.54,3.68,3.30e-02 g/l,3.67,-7
DB13234,1421-14-3,2.8,2.15,2.29e-01 g/l,16.59,-4.6
DB13236,15489-16-4,1.04,0.38,9.19e-01 g/l,-3.5,-6.5
DB13237,37693-01-9,7.62,7.99,3.62e-05 g/l,10.28,-5.5
DB13239,99453-84-6,4.13,4.49,1.15e-03 g/l,11.23,8.84
DB13240,508-77-0,0.45,1.69,8.04e-02 g/l,7.18,0.27
DB13242,362-74-3,0.65,0.59,1.62e+00 g/l,1.72,2.46
DB13243,60084-10-8,-1.4,-2,5.85e+00 g/l,12.55,-1.4
DB13244,56-91-7,-2,-1.5,3.65e+00 g/l,3.87,9.53
DB13247,68497-62-1,1.17,0.1,5.31e+00 g/l,15.85,9.61
DB13248,85-73-4,2.22,2.55,1.71e-02 g/l,2.91,0.59
DB13250,1115-84-0,-1.4,-3.3,9.20e+00 g/l,2.24,9.41
DB13251,104-14-3,-0.94,-0.32,1.72e+01 g/l,9.64,8.98
DB13253,2537-29-3,-0.13,-0.16,2.35e+01 g/l,7.18,-2.5
DB13258,25287-60-9,4.4,4.17,9.15e-04 g/l,16.68,-3.6
DB13261,163253-35-8,0.24,-0.17,5.50e-02 g/l,5.7,9.37
DB13264,4599-60-4,-0.7,-4.5,8.04e+00 g/l,3.34,9.27
DB13266,51627-14-6,-0.28,-2.2,1.49e-01 g/l,2.92,7.22
DB13268,97-44-9,-0.15,-0.031,2.80e+00 g/l,3.55,-4.5
DB13269,1777-82-8,2.51,2.41,1.38e+00 g/l,14.68,-2.9
DB13270,34493-98-6,-2.6,-5.3,3.39e+01 g/l,12.54,9.84
DB13272,13957-36-3,1.32,0.67,5.27e-01 g/l,13,10.49
DB13273,53583-79-2,1.65,1.08,2.01e-01 g/l,13.22,8.22
DB13274,52093-21-7,-1.8,-3.6,1.75e+01 g/l,12.55,10.06
DB13275,1146-99-2,3.66,3.48,5.31e-03 g/l,4.4,-7.5
DB13276,25466-44-8,3.21,2.93,3.57e-02 g/l,10.61,8.31
DB13277,68-90-6,5.8,5.87,1.39e-02 g/l,5.61,-3
DB13278,1083-57-4,1.39,1.25,2.17e+00 g/l,14.58,-2.6
DB13280,19022-77-6,1.19,-0.0015,8.30e-02 g/l,4.02,-7.5
DB13283,515-64-0,0.84,0.91,2.29e-01 g/l,6.12,5
DB13286,3583-64-0,2.95,4.72,5.41e-02 g/l,4.35,-7
DB13288,53783-83-8,2.43,1.13,2.09e-01 g/l,15.41,8.57
DB13290,6818-37-7,6.38,5.75,1.70e-03 g/l,15.12,9.72
DB13291,3611-72-1,3.99,3.67,1.88e-02 g/l,12.63,-3
DB13294,13838-08-9,0.74,-0.4,1.22e+00 g/l,11.94,-2.8
DB13297,6961-46-2,1.09,0.86,4.98e-01 g/l,15.38,-0.43
DB13300,26774-90-3,1.04,-2.3,7.92e-01 g/l,3.25,7.6
DB13303,13246-02-1,2.31,2.38,5.39e-02 g/l,7.39,-4.1
DB13306,72-80-0,3.82,3.17,5.38e-02 g/l,6.99,4
DB13307,466-06-8,2.37,2.3,4.27e-02 g/l,12.22,0.3
DB13308,27035-30-9,3.5,2.72,5.69e-03 g/l,8.86,-2.3
DB13311,41826-92-0,2.52,1.95,1.03e-01 g/l,3.45,-4.4
DB13312,83435-66-9,1.69,2.17,5.37e-03 g/l,3.82,5.21
DB13313,7101-51-1,-0.2,0.62,2.15e+00 g/l,9.29,6.97
DB13314,39718-89-3,0.47,1.86,6.76e-01 g/l,4.15,4.77
DB13315,42370-41-2,1.54,0.94,2.60e+01 g/l,14.48,-2.8
DB13317,66934-18-7,3.14,3.67,4.99e-02 g/l,4.59,0.12
DB13318,477-30-5,2.52,2.08,3.20e-02 g/l,16.96,9.7
DB13319,76448-31-2,1.11,1.15,3.44e-01 g/l,18.17,1.38
DB13320,599-88-2,0.41,0.9,3.12e-01 g/l,7.03,2.02
DB13325,39978-42-2,3.28,2.36,1.88e-02 g/l,8.87,0.27
DB13327,32828-81-2,1.04,0.98,1.68e-02 g/l,13.44,5.12
DB13328,3785-21-5,2.69,3.16,6.65e-02 g/l,12.3,8.69
DB13331,77-04-3,0.58,1.56,5.45e+00 g/l,13.04,-5.3
DB13333,119-41-5,3.55,2.79,7.81e-03 g/l,15.8,-4.8
DB13334,7518-35-6,-1.6,-4,3.62e+00 g/l,12.7,-3.7
DB13337,147-55-7,2.22,1.33,3.56e-01 g/l,3.47,-4.9
DB13338,82664-20-8,2.41,2.43,3.55e-01 g/l,11.82,8.38
DB13340,54767-75-8,5.54,5.61,9.74e-04 g/l,13.87,9.76
DB13341,15302-16-6,1.49,1.43,1.23e+00 g/l,15.33,-0.79
DB13343,4991-65-5,1.97,2.06,3.71e+00 g/l,7.35,-5.8
DB13345,17479-19-5,3.56,3.83,1.41e-01 g/l,9.71,8.39
DB13346,2438-72-4,2.09,1.97,2.33e-01 g/l,8.86,-4.8
DB13347,82-66-6,4.46,4.78,7.55e-04 g/l,4.18,-7.4
DB13348,6964-20-1,3.98,3.41,2.10e-03 g/l,15.25,-2.6
DB13350,62973-76-6,1.03,0.83,8.06e-01 g/l,16.59,4.06
DB13352,108-01-0,-0.46,-0.5,1.40e+03 g/l,15.59,9.03
DB13353,21363-18-8,5.39,5.43,8.65e-03 g/l,13.86,10.14
DB13357,94-35-9,0.34,0.68,5.83e+00 g/l,13.66,-3.4
DB13362,90-49-3,1.73,1.45,3.64e-01 g/l,11.71,-7.5
DB13363,33996-33-7,-1.4,-1.6,6.40e+02 g/l,3.69,-1.8
DB13368,56281-36-8,5.78,5.36,7.67e-04 g/l,16.33,-0.22
DB13369,16175-92-1,2.32,-0.78,3.75e-04 g/l,11.05,-4.5
DB13370,496-67-3,0.62,0.8,1.71e+00 g/l,10.95,-7.7
DB13371,51484-40-3,3.66,4.07,5.57e-03 g/l,12.02,4.04
DB13374,1617-90-9,2.62,3.39,2.16e-01 g/l,10.52,6.7
DB13376,123-56-8,-0.9,-0.99,2.28e+02 g/l,9.9,-7.2
DB13378,536-21-0,-0.95,-0.32,1.86e+01 g/l,9.56,8.91
DB13379,8002-90-2,-0.08,-0.58,4.96e-01 g/l,-4.4,2.82
DB13380,80387-96-8,3.27,3.42,1.25e-01 g/l,11.05,8.99
DB13381,15708-41-5,1.45,-1.5,5.41e-02 g/l,1.12,-7
DB13383,534-08-7,1.88,1.79,5.64e-01 g/l,14.16,-3.2
DB13386,7004-98-0,2.85,2.82,1.43e-02 g/l,13.62,-3.2
DB13387,15489-90-4,3.67,6.78,5.83e-02 g/l,3.68,4.96
DB13389,5579-92-0,0.27,1.31,4.82e+00 g/l,13.98,-3
DB13391,1196-01-6,2.3,2.24,3.84e+00 g/l,19.84,-4.7
DB13392,129-16-8,3.77,3.07,8.44e-02 g/l,3.61,-2
DB13394,99-45-6,-0.55,-0.18,8.68e+00 g/l,7.5,8.24
DB13395,32665-36-4,2.94,2.93,1.74e-01 g/l,14.44,7.89
DB13396,38964-88-4,0.82,-0.42,1.77e-02 g/l,1.68,9.2
DB13398,15687-41-9,2.39,2.63,2.17e-02 g/l,13.88,9.06
DB13399,37686-84-3,2.58,2.2,8.75e-02 g/l,15.54,7.51
DB13400,33876-97-0,-1.2,-2.1,3.12e+01 g/l,10.06,-2.9
DB13401,30685-43-9,1.78,3.01,6.08e-02 g/l,7.15,-3
DB13402,17427-14-4,0.88,-1.3,4.34e+01 g/l,3.77,-2
DB13403,153-87-7,4.34,3.92,3.49e-02 g/l,17.51,8.51
DB13404,64-02-8,-0.13,-5.2,9.71e+01 g/l,1.49,8.13
DB13405,7195-27-9,1.32,0.94,2.21e-01 g/l,8.68,-4.2
DB13406,339-43-5,1.28,0.95,6.86e-01 g/l,4.35,2.11
DB13407,2139-47-1,1.4,0.79,3.78e-01 g/l,10.56,3.59
DB13409,74014-51-0,3.4,3.63,6.10e-02 g/l,12.71,7.9
DB13410,24047-25-4,2.29,2.24,9.51e-02 g/l,14.79,6.25
DB13411,23047-25-8,5.79,6.11,8.38e-04 g/l,17.02,6.53
DB13412,33605-94-6,0.17,-0.76,1.64e+00 g/l,9.44,8.38
DB13413,1156-05-4,2.69,2,1.87e-01 g/l,11.7,9.96
DB13414,553-69-5,2.01,1.92,9.40e-01 g/l,14.1,6.61
DB13417,952-54-5,-0.9,-1.1,4.72e+00 g/l,13.34,4
DB13418,34816-55-2,2.84,3.23,9.28e-03 g/l,10.21,-3.7
DB13419,30751-05-4,1.13,0.68,3.56e-01 g/l,14.45,9.52
DB13421,15176-29-1,-0.73,-0.67,6.14e+01 g/l,9.95,-3
DB13422,15351-13-0,2,2.35,5.93e-02 g/l,10.22,3.84
DB13428,07-05-3115,3.46,4.48,9.29e-03 g/l,2.7,0.93
DB13430,3568-00-1,1.3,1.95,3.24e-01 g/l,9.06,-2.6
DB13431,6620-60-6,1.94,2.14,1.45e-01 g/l,4.42,-1.2
DB13432,53808-88-1,4.01,4.33,9.37e-03 g/l,4.31,1.89
DB13435,39715-02-1,0.98,0.38,2.57e-01 g/l,10.36,5.46
DB13436,15599-26-5,2.25,2.25,5.67e-01 g/l,15.12,8.06
DB13442,1195-16-0,-0.4,-0.43,1.02e+01 g/l,12.53,-1.8
DB13443,93379-54-5,0.57,0.43,4.29e-01 g/l,14.08,9.67
DB13444,28179-44-4,1.36,2.04,2.65e-01 g/l,2.13,-1.8
DB13445,22443-11-4,4.17,3.91,4.29e-02 g/l,19.18,8.98
DB13448,42024-98-6,4.18,4.01,4.57e-02 g/l,10.4,9.36
DB13449,603-00-9,-0.27,-0.82,1.46e+01 g/l,15.17,-0.97
DB13451,22619-35-8,4.78,5.37,5.81e-04 g/l,4.83,-3.1
DB13452,64241-34-5,1.23,1.23,6.35e-01 g/l,12.88,3.37
DB13455,1078-21-3,-1.3,-1.4,1.56e+00 g/l,4.44,9.8
DB13456,35457-80-8,3.09,3.19,9.35e-02 g/l,12.71,7.9
DB13459,19504-77-9,2.82,2.4,1.81e-01 g/l,18.09,-1.4
DB13461,135889-00-8,0.52,-0.91,3.82e-02 g/l,3.11,4.13
DB13462,7181-73-9,-0.34,-0.6,4.35e-05 g/l,18.33,-4.9
DB13464,3397-23-7,-1.3,-7.1,6.40e-02 g/l,9.25,9.85
DB13465,31431-43-3,2.01,2.14,2.26e-01 g/l,9.14,3.4
DB13467,17575-22-3,-0.18,1.04,3.00e-01 g/l,7.15,-3
DB13470,69739-16-8,1.07,0.24,6.80e-02 g/l,2.68,3.45
DB13471,152657-84-6,3.24,2.24,1.62e-01 g/l,10.29,9.51
DB13475,1672-88-4,0.6,0.07,1.40e-01 g/l,8.23,0.48
DB13478,54340-58-8,3.75,3.07,3.54e-01 g/l,10.23,9.16
DB13481,120210-48-2,2.22,2.32,9.47e-03 g/l,4.83,-0.69
DB13483,2624-44-4,-0.9,1.2,1.74e+01 g/l,-2.8,-6
DB13484,2487-63-0,4.64,5.03,1.00e-03 g/l,18.86,-4.6
DB13485,3772-76-7,0.92,1.39,2.60e-01 g/l,7.18,3.66
DB13487,56897-09-7,6.89,7.67,1.17e-04 g/l,18.19,-1.4
DB13490,115960-14-0,-0.12,-1.6,1.08e+00 g/l,9.55,-2.8
DB13491,3841-11-0,1.64,1.89,5.79e-02 g/l,12.53,-3.4
DB13493,512-16-3,1.7,1.91,1.18e+01 g/l,4.71,-3.1
DB13494,22950-29-4,-0.38,-0.38,1.07e+01 g/l,8.97,9.68
DB13499,62587-73-9,-1.8,-5.8,1.86e-02 g/l,-1.4,-0.7
DB13500,105360-89-2,2.92,2.58,2.42e-05 g/l,12.75,-3.9
DB13501,20187-55-7,2.89,3.06,1.03e-01 g/l,3.66,0.35
DB13504,65052-63-3,-0.18,-0.65,1.74e-01 g/l,2.72,3.61
DB13506,27025-49-6,2.8,2.62,1.80e-02 g/l,3.29,-6.3
DB13507,596-50-9,-0.88,-0.97,5.37e-04 g/l,11.05,-4.5
DB13508,39563-28-5,3.47,3.08,8.79e-02 g/l,14.09,9.76
DB13509,9014-67-9,1.19,1.24,3.62e+01 g/l,3.41,-7.1
DB13510,55837-25-7,2.33,1.88,4.86e-01 g/l,15.61,8.69
DB13511,55905-53-8,2.69,2.42,1.98e-02 g/l,14.61,8.52
DB13512,3576-64-5,3.29,3.17,8.72e-03 g/l,15.54,-2.5
DB13513,4619-74-3,4.46,4.49,1.49e-02 g/l,6.51,-7.7
DB13514,52549-17-4,2.54,2.94,1.03e+00 g/l,3.63,2.24
DB13515,125-58-6,4.14,5.01,5.90e-03 g/l,18.78,9.12
DB13517,53-73-6,-1.2,-3.8,1.69e-02 g/l,3.42,11.7
DB13523,66644-81-3,1.52,0.55,2.85e-01 g/l,10.06,7.77
DB13526,115-77-5,-1.9,-2.7,4.79e+02 g/l,14.3,-2.8
DB13527,57132-53-3,5.94,5.72,1.16e-03 g/l,15.04,7.8
DB13528,1961-77-9,3.46,3.28,6.77e-03 g/l,12.7,-3.8
DB13529,88-46-0,-0.9,1.2,1.74e+01 g/l,-2.8,-6
DB13530,23694-81-7,2.29,1.89,3.54e-01 g/l,14.09,9.67
DB13531,553-06-0,3.2,3.63,3.98e-03 g/l,15.01,3.62
DB13532,742-20-1,1.88,1.45,2.79e-01 g/l,9.07,-2.6
DB13533,514-61-4,3.13,3.35,3.02e-02 g/l,19.28,-0.53
DB13534,109623-97-4,5.15,4.82,1.56e-03 g/l,11.58,2.43
DB13536,521-74-4,3.59,3.36,1.05e-01 g/l,7.14,3.31
DB13537,10176-39-3,3.01,4.18,1.69e-02 g/l,6.82,-3.2
DB13539,31127-82-9,4.13,7.17,2.84e-03 g/l,2.03,-3.8
DB13540,58152-03-7,-2.8,-7.3,6.30e+01 g/l,12.07,9.54
DB13541,7248-21-7,0.31,-0.45,1.42e+00 g/l,11.64,2.12
DB13542,33371-53-8,-0.64,-0.53,2.97e-04 g/l,11.05,-4.5
DB13543,488-41-5,-0.44,-0.65,3.97e+01 g/l,12.63,-3.5
DB13544,938-73-8,1.23,1.02,2.44e+00 g/l,13.68,-0.93
DB13545,1470-35-5,3.69,3.65,7.22e-03 g/l,4.55,-7.5
DB13547,1161-88-2,0.2,0.3,3.44e-01 g/l,6.13,2.25
DB13549,619-60-3,1.59,1.78,1.87e+02 g/l,10.33,5.92
DB13551,132-60-5,3.41,3.82,3.55e-02 g/l,3.57,1.26
DB13552,749-13-3,3.7,3.93,1.78e-02 g/l,13.93,8.02
DB13553,87638-04-8,-1.3,-3.9,3.18e-01 g/l,-1.9,3.09
DB13554,1050-79-9,3.41,3.57,1.02e-02 g/l,14.02,8.17
DB13555,35080-11-6,2.24,-1.4,2.99e-02 g/l,12.01,-0.54
DB13556,65761-24-2,1.61,-0.16,3.89e-02 g/l,-1.6,-0.6
DB13559,32953-89-2,-0.08,0.44,6.83e+00 g/l,9.74,8.93
DB13563,848-21-5,2.97,2.41,1.13e-02 g/l,17.57,-1.7
DB13564,34758-83-3,2.62,2.88,1.98e-01 g/l,13.72,7.79
DB13565,23884-64-2,2.91,1.25,1.39e-04 g/l,13.67,-3.3
DB13566,57734-69-7,4.13,4.14,1.06e-02 g/l,13.19,8.95
DB13567,114-43-2,2.83,5,6.78e-02 g/l,3.46,-4.7
DB13568,300-37-8,1.89,2.11,1.92e+00 g/l,2.53,-8.2
DB13571,6834-98-6,0.07,-0.68,2.09e-01 g/l,12.89,-2.8
DB13573,652-37-9,-0.8,-1.1,1.47e+01 g/l,3.26,-1
DB13574,372-66-7,1.31,0.82,1.62e+01 g/l,18.53,10.43
DB13576,1976-28-9,2.1,-0.17,1.89e-02 g/l,2.79,4.19
DB13580,116-43-8,0.99,0.87,1.85e-01 g/l,3.36,0.59
DB13581,53716-44-2,4.56,3.99,5.82e-02 g/l,14.09,9.2
DB13582,54063-42-2,1.08,-1.3,2.25e+00 g/l,3.05,-4.2
DB13583,59-47-2,0.96,1.01,2.08e+01 g/l,13.62,-3
DB13586,72-63-9,3.55,3.64,1.61e-02 g/l,18.86,-0.53
DB13587,1424-00-6,3.75,3.7,6.41e-03 g/l,19.38,-0.88
DB13590,20310-61-6,-1.2,-5.8,1.63e+01 g/l,2.98,6.58
DB13591,14008-44-7,2.91,2.04,1.90e-02 g/l,15.93,8.48
DB13593,1222-57-7,2.43,1.63,1.87e-02 g/l,19.68,5.64
DB13596,485-89-2,3.86,3.94,8.49e-02 g/l,3.36,1.72
DB13597,3731-59-7,-1.5,-1.1,1.41e+00 g/l,19.16,11.85
DB13599,3639-19-8,1.59,-0.24,1.67e-01 g/l,3.16,4.51
DB13600,52918-63-5,6.13,5.74,1.25e-03 g/l,10.62,-3.7
DB13601,62613-82-5,-2.2,-2.6,4.77e+02 g/l,14.61,-2.8
DB13602,34184-77-5,4.44,4.66,7.72e-03 g/l,19,-4.7
DB13605,562-26-5,3.66,3.61,3.84e-02 g/l,14.44,8.62
DB13606,58073-76-0,4.93,4.08,7.43e-03 g/l,9.96,10.86
DB13608,910-86-1,5.7,6.92,2.98e-04 g/l,12.62,-4.5
DB13609,131707-25-0,4.97,3.75,6.78e-03 g/l,6.01,9.87
DB13610,15687-21-5,3.71,3.97,7.96e-03 g/l,12.38,-3.8
DB13612,5749-67-7,3.17,1.24,8.48e-03 g/l,3.41,-7.1
DB13613,70-10-0,2.04,1.96,7.34e-01 g/l,9.34,-8.5
DB13615,838853-48-8,5.5,5.57,1.32e-03 g/l,1.9,-3.5
DB13616,159776-70-2,-0.51,-1.3,1.17e-01 g/l,3.2,11.48
DB13617,07-01-2127,2.61,2.03,8.03e-02 g/l,8.85,-1.2
DB13620,299-27-4,-1.9,-3.4,8.33e+02 g/l,3.39,-3
DB13621,53008-15-4,-1.3,-8.7,1.22e+02 g/l,11.18,-3.7
DB13622,63795-61-9,6.4,6.31,3.37e-04 g/l,18.19,-1.4
DB13623,173352-21-1,2.28,2.31,1.78e-01 g/l,10.79,6.67
DB13625,34866-47-2,0.47,-0.45,8.58e-01 g/l,8.53,9.78
DB13626,41354-48-7,-1.2,-3.4,3.06e+01 g/l,2.31,9.24
DB13627,14698-29-4,0.86,1.35,1.91e+00 g/l,5.58,-4.3
DB13628,120-47-8,2.76,2.03,2.49e+00 g/l,8.5,-6.1
DB13631,865-04-3,4.05,3.53,1.13e-02 g/l,16.65,7.03
DB13632,58416-00-5,2.44,4.48,2.70e-01 g/l,6.29,-4.5
DB13635,83275-56-3,2.76,3.4,5.01e-02 g/l,13.05,7.11
DB13638,76610-84-9,-1.3,-2,1.11e+00 g/l,3.37,-1.5
DB13639,2944-65-2,-0.76,-1.8,9.48e+01 g/l,2.72,-4.3
DB13640,6277-14-1,5.99,6.47,5.55e-04 g/l,4.44,-5.1
DB13641,1910-68-5,1.4,0.8,2.48e-01 g/l,11.49,-1.3
DB13642,511-45-5,3.69,3.7,1.92e-02 g/l,13.36,9.34
DB13643,61197-73-7,2.8,2.68,9.17e-02 g/l,19.13,8.06
DB13644,56-04-2,0.44,0.24,1.90e+00 g/l,8.09,-3.2
DB13645,33414-33-4,4.21,4,9.45e-03 g/l,12.9,9.7
