drugbank_id,cas,logP ALOGPS,logP ChemAxon,solubility ALOGPS,pKa (strongest acidic),pKa (strongest basic)
DB00535,91832-40-5,0.02,-1.7,8.78e-02 g/l,1.74,7.45
DB00537,85721-33-1,-0.57,-0.81,1.35e+00 g/l,5.76,8.68
DB00538,131069-91-5,0.36,-7,2.98e+00 g/l,2.32,8.97
DB00541,57-22-7,3.36,3.13,3.00e-02 g/l,10.85,8.66
DB00542,86541-75-5,1.14,1.54,1.05e-02 g/l,3.53,5.36
DB00544,51-21-8,-0.58,-0.66,5.86e+00 g/l,7.76,-8
DB00546,37115-32-5,2.57,2.24,6.72e-02 g/l,18.38,6.66
DB00547,382-67-2,2.13,2.35,3.10e-02 g/l,13.44,-3.3
DB00549,107753-78-6,4.84,6.4,9.62e-04 g/l,4.29,-1.1
DB00550,51-52-5,1.53,1.2,4.66e-01 g/l,8.09,-2.7
DB00551,546-88-3,-1.5,-1,5.09e+02 g/l,8.94,-5.4
DB00552,53910-25-1,-2,-2,1.07e+01 g/l,13.06,8.33
DB00554,36322-90-4,2.2,0.6,1.43e-01 g/l,4.76,3.79
DB00555,84057-84-1,1.87,1.93,4.88e-01 g/l,14.98,5.87
DB00557,68-88-2,3.43,3.41,9.14e-02 g/l,15.12,7.82
DB00558,139110-80-8,-2.3,-5.8,7.31e+00 g/l,3.25,11.93
DB00559,147536-97-8,4.18,4.94,9.04e-03 g/l,5.8,-0.43
DB00560,220620-09-7,0.66,-3.9,4.50e-01 g/l,3.17,8.97
DB00562,91-33-8,2.25,1.84,1.21e-02 g/l,9.18,-4.7
DB00563,59-05-2,-0.91,-0.5,1.71e-01 g/l,3.41,2.81
DB00564,298-46-4,2.1,2.77,1.52e-01 g/l,15.96,-3.8
DB00565,96946-41-7,3.41,-0.96,2.32e-05 g/l,19.02,-4.1
DB00567,15686-71-2,0.55,-2.1,2.97e-01 g/l,3.26,7.23
DB00570,865-21-4,4.22,4.18,1.69e-02 g/l,10.87,8.86
DB00571,525-66-6,3.03,2.58,7.94e-02 g/l,14.09,9.67
DB00572,51-55-8,2.19,1.57,2.52e+00 g/l,15.15,9.39
DB00573,29679-58-1,3.87,3.65,8.11e-02 g/l,3.96,-8.7
DB00576,144-82-1,0.53,0.21,6.11e-01 g/l,6.71,1.95
